country,county,updatedAt,stats,coordinates,province
Afghanistan,,2020-08-17 04:27:20,"{'confirmed': 37596, 'deaths': 1375, 'recovered': 27166}","{'latitude': '33.93911', 'longitude': '67.709953'}",
Albania,,2020-08-17 04:27:20,"{'confirmed': 7380, 'deaths': 228, 'recovered': 3794}","{'latitude': '41.1533', 'longitude': '20.1683'}",
Algeria,,2020-08-17 04:27:20,"{'confirmed': 38583, 'deaths': 1370, 'recovered': 27017}","{'latitude': '28.0339', 'longitude': '1.6596'}",
Andorra,,2020-08-17 04:27:20,"{'confirmed': 989, 'deaths': 53, 'recovered': 863}","{'latitude': '42.5063', 'longitude': '1.5218'}",
Angola,,2020-08-17 04:27:20,"{'confirmed': 1906, 'deaths': 88, 'recovered': 628}","{'latitude': '-11.2027', 'longitude': '17.8739'}",
Antigua and Barbuda,,2020-08-17 04:27:20,"{'confirmed': 93, 'deaths': 3, 'recovered': 88}","{'latitude': '17.0608', 'longitude': '-61.7964'}",
Argentina,,2020-08-17 04:27:20,"{'confirmed': 294569, 'deaths': 5703, 'recovered': 211702}","{'latitude': '-38.4161', 'longitude': '-63.6167'}",
Armenia,,2020-08-17 04:27:20,"{'confirmed': 41663, 'deaths': 818, 'recovered': 34584}","{'latitude': '40.0691', 'longitude': '45.0382'}",
Australia,,2020-08-17 04:27:20,"{'confirmed': 113, 'deaths': 3, 'recovered': 110}","{'latitude': '-35.4735', 'longitude': '149.0124'}",Australian Capital Territory
Australia,,2020-08-17 04:27:20,"{'confirmed': 3957, 'deaths': 52, 'recovered': 2994}","{'latitude': '-33.8688', 'longitude': '151.2093'}",New South Wales
Australia,,2020-08-17 04:27:20,"{'confirmed': 33, 'deaths': 0, 'recovered': 31}","{'latitude': '-12.4634', 'longitude': '130.8456'}",Northern Territory
Australia,,2020-08-17 04:27:20,"{'confirmed': 1091, 'deaths': 6, 'recovered': 1079}","{'latitude': '-27.4698', 'longitude': '153.0251'}",Queensland
Australia,,2020-08-17 04:27:20,"{'confirmed': 461, 'deaths': 4, 'recovered': 450}","{'latitude': '-34.9285', 'longitude': '138.6007'}",South Australia
Australia,,2020-08-17 04:27:20,"{'confirmed': 230, 'deaths': 13, 'recovered': 216}","{'latitude': '-42.8821', 'longitude': '147.3272'}",Tasmania
Australia,,2020-08-17 04:27:20,"{'confirmed': 17027, 'deaths': 334, 'recovered': 8570}","{'latitude': '-37.8136', 'longitude': '144.9631'}",Victoria
Australia,,2020-08-17 04:27:20,"{'confirmed': 646, 'deaths': 9, 'recovered': 633}","{'latitude': '-31.9505', 'longitude': '115.8605'}",Western Australia
Austria,,2020-08-17 04:27:20,"{'confirmed': 23370, 'deaths': 728, 'recovered': 20681}","{'latitude': '47.5162', 'longitude': '14.5501'}",
Azerbaijan,,2020-08-17 04:27:20,"{'confirmed': 34219, 'deaths': 506, 'recovered': 31875}","{'latitude': '40.1431', 'longitude': '47.5769'}",
Bahamas,,2020-08-17 04:27:20,"{'confirmed': 1315, 'deaths': 18, 'recovered': 189}","{'latitude': '25.025885', 'longitude': '-78.035889'}",
Bahrain,,2020-08-17 04:27:20,"{'confirmed': 46835, 'deaths': 170, 'recovered': 43128}","{'latitude': '26.0275', 'longitude': '50.55'}",
Bangladesh,,2020-08-17 04:27:20,"{'confirmed': 276549, 'deaths': 3657, 'recovered': 158950}","{'latitude': '23.685', 'longitude': '90.3563'}",
Barbados,,2020-08-17 04:27:20,"{'confirmed': 151, 'deaths': 7, 'recovered': 122}","{'latitude': '13.1939', 'longitude': '-59.5432'}",
Belarus,,2020-08-17 04:27:20,"{'confirmed': 69516, 'deaths': 610, 'recovered': 67072}","{'latitude': '53.7098', 'longitude': '27.9534'}",
Belgium,,2020-08-17 04:27:20,"{'confirmed': 78323, 'deaths': 9939, 'recovered': 17994}","{'latitude': '50.8333', 'longitude': '4.469936'}",
Belize,,2020-08-17 04:27:20,"{'confirmed': 452, 'deaths': 3, 'recovered': 35}","{'latitude': '17.1899', 'longitude': '-88.4976'}",
Benin,,2020-08-17 04:27:20,"{'confirmed': 2063, 'deaths': 39, 'recovered': 1690}","{'latitude': '9.3077', 'longitude': '2.3158'}",
Bhutan,,2020-08-17 04:27:20,"{'confirmed': 138, 'deaths': 0, 'recovered': 102}","{'latitude': '27.5142', 'longitude': '90.4336'}",
Bolivia,,2020-08-17 04:27:20,"{'confirmed': 100344, 'deaths': 4058, 'recovered': 36491}","{'latitude': '-16.2902', 'longitude': '-63.5887'}",
Bosnia and Herzegovina,,2020-08-17 04:27:20,"{'confirmed': 15801, 'deaths': 471, 'recovered': 9619}","{'latitude': '43.9159', 'longitude': '17.6791'}",
Botswana,,2020-08-17 04:27:20,"{'confirmed': 1214, 'deaths': 3, 'recovered': 120}","{'latitude': '-22.3285', 'longitude': '24.6849'}",
Brazil,,2020-08-17 04:27:20,"{'confirmed': 22548, 'deaths': 576, 'recovered': 15505}","{'latitude': '-9.0238', 'longitude': '-70.812'}",Acre
Brazil,,2020-08-17 04:27:20,"{'confirmed': 72734, 'deaths': 1753, 'recovered': 66201}","{'latitude': '-9.5713', 'longitude': '-36.782'}",Alagoas
Brazil,,2020-08-17 04:27:20,"{'confirmed': 39518, 'deaths': 613, 'recovered': 27512}","{'latitude': '0.902', 'longitude': '-52.003'}",Amapa
