Country/Region,Lat,Long,Status,Date,Confirmed,Deaths,Recovered
Afghanistan,33.93911,67.709953,confirmed,1/22/20,0,0,0
Albania,41.1533,20.1683,confirmed,1/22/20,0,0,0
Algeria,28.0339,1.6596,confirmed,1/22/20,0,0,0
Andorra,42.5063,1.5218,confirmed,1/22/20,0,0,0
Angola,-11.2027,17.8739,confirmed,1/22/20,0,0,0
Antigua and Barbuda,17.0608,-61.7964,confirmed,1/22/20,0,0,0
Argentina,-38.4161,-63.6167,confirmed,1/22/20,0,0,0
Armenia,40.0691,45.0382,confirmed,1/22/20,0,0,0
Australia,-256.85020000000003,1130.8438999999998,confirmed,1/22/20,0,0,0
Austria,47.5162,14.5501,confirmed,1/22/20,0,0,0
Azerbaijan,40.1431,47.5769,confirmed,1/22/20,0,0,0
Bahamas,25.025885,-78.035889,confirmed,1/22/20,0,0,0
Bahrain,26.0275,50.55,confirmed,1/22/20,0,0,0
Bangladesh,23.685,90.3563,confirmed,1/22/20,0,0,0
Barbados,13.1939,-59.5432,confirmed,1/22/20,0,0,0
Belarus,53.7098,27.9534,confirmed,1/22/20,0,0,0
Belgium,50.8333,4.469936,confirmed,1/22/20,0,0,0
Belize,17.1899,-88.4976,confirmed,1/22/20,0,0,0
Benin,9.3077,2.3158,confirmed,1/22/20,0,0,0
Bhutan,27.5142,90.4336,confirmed,1/22/20,0,0,0
Bolivia,-16.2902,-63.5887,confirmed,1/22/20,0,0,0
Bosnia and Herzegovina,43.9159,17.6791,confirmed,1/22/20,0,0,0
Botswana,-22.3285,24.6849,confirmed,1/22/20,0,0,0
Brazil,-14.235,-51.9253,confirmed,1/22/20,0,0,0
Brunei,4.5353,114.7277,confirmed,1/22/20,0,0,0
Bulgaria,42.7339,25.4858,confirmed,1/22/20,0,0,0
Burkina Faso,12.2383,-1.5616,confirmed,1/22/20,0,0,0
Burma,21.9162,95.956,confirmed,1/22/20,0,0,0
Burundi,-3.3731,29.9189,confirmed,1/22/20,0,0,0
Cabo Verde,16.5388,-23.0418,confirmed,1/22/20,0,0,0
Cambodia,11.55,104.9167,confirmed,1/22/20,0,0,0
Cameroon,3.8480000000000003,11.5021,confirmed,1/22/20,0,0,0
Canada,638.5557999999999,-1119.4903,confirmed,1/22/20,0,0,0
Central African Republic,6.6111,20.9394,confirmed,1/22/20,0,0,0
Chad,15.4542,18.7322,confirmed,1/22/20,0,0,0
